n_games,avg_error
2,1.328018649362645
3,1.2253056924286048
4,1.0959380503289315
5,1.0740575896368307
6,0.9658968438884553
7,0.935939667633019
8,0.8792685471348592
9,0.8434226510695784
10,0.7951367241450288
11,0.7738589860763649
12,0.7494098217584167
13,0.7059329343229328
14,0.6883011292146571
15,0.6581743881468417
16,0.6251108910243215
17,0.6162215231966462
18,0.6008771348305949
19,0.5905096857777369
20,0.5640994639704987
